attn_scale: 0.1, hopf_scale: 0.06
0.1, 0.06
epoch  6300 | force_w 0.000 | train loss   0.2464 | valid acc 0.9615 | 0.157s / epoch | 
epoch  6400 | force_w 0.000 | train loss   0.2200 | valid acc 0.9615 | 0.158s / epoch | 
epoch  6500 | force_w 0.000 | train loss   0.2331 | valid acc 0.8654 | 0.155s / epoch | 
epoch  6600 | force_w 0.000 | train loss   0.2541 | valid acc 0.9615 | 0.154s / epoch | 
epoch  6700 | force_w 0.000 | train loss   0.2091 | valid acc 0.9615 | 0.158s / epoch | 
epoch  6800 | force_w 0.000 | train loss   0.2252 | valid acc 0.8654 | 0.154s / epoch | 
epoch  6900 | force_w 0.000 | train loss   0.2393 | valid acc 0.9615 | 0.155s / epoch | 
epoch  7000 | force_w 0.000 | train loss   0.2118 | valid acc 0.9615 | 0.157s / epoch | 
epoch  7100 | force_w 0.000 | train loss   0.2255 | valid acc 0.8654 | 0.154s / epoch | 
epoch  7200 | force_w 0.000 | train loss   0.2450 | valid acc 0.9615 | 0.154s / epoch | 
epoch  7300 | force_w 0.000 | train loss   0.2138 | valid acc 0.9615 | 0.154s / epoch | 
epoch  7400 | force_w 0.000 | train loss   0.2117 | valid acc 0.8462 | 0.154s / epoch | 
epoch  7500 | force_w 0.000 | train loss   0.2386 | valid acc 0.9615 | 0.152s / epoch | 
epoch  7600 | force_w 0.000 | train loss   0.2171 | valid acc 0.9615 | 0.155s / epoch | 
epoch  7700 | force_w 0.000 | train loss   0.2204 | valid acc 0.8654 | 0.155s / epoch | 
epoch  7800 | force_w 0.000 | train loss   0.2449 | valid acc 0.9615 | 0.153s / epoch | 
epoch  7900 | force_w 0.000 | train loss   0.2043 | valid acc 0.9615 | 0.154s / epoch | 
epoch  8000 | force_w 0.000 | train loss   0.2207 | valid acc 0.8654 | 0.156s / epoch | 
epoch  8100 | force_w 0.000 | train loss   0.2519 | valid acc 0.9615 | 0.156s / epoch | 
epoch  8200 | force_w 0.000 | train loss   0.2077 | valid acc 0.9615 | 0.154s / epoch | 
epoch  8300 | force_w 0.000 | train loss   0.2185 | valid acc 0.8654 | 0.152s / epoch | 
epoch  8400 | force_w 0.000 | train loss   0.2352 | valid acc 0.9615 | 0.154s / epoch | 
epoch  8500 | force_w 0.000 | train loss   0.2115 | valid acc 0.9615 | 0.156s / epoch | 
epoch  8600 | force_w 0.000 | train loss   0.2137 | valid acc 0.8462 | 0.153s / epoch | 
epoch  8700 | force_w 0.000 | train loss   0.2392 | valid acc 0.9615 | 0.156s / epoch | 
epoch  8800 | force_w 0.000 | train loss   0.2107 | valid acc 0.9615 | 0.154s / epoch | 
epoch  8900 | force_w 0.000 | train loss   0.2150 | valid acc 0.8462 | 0.155s / epoch | 
epoch  9000 | force_w 0.000 | train loss   0.2450 | valid acc 0.9615 | 0.154s / epoch | 
epoch  9100 | force_w 0.000 | train loss   0.2051 | valid acc 0.9615 | 0.155s / epoch | 
epoch  9200 | force_w 0.000 | train loss   0.2181 | valid acc 0.8654 | 0.155s / epoch | 
epoch  9300 | force_w 0.000 | train loss   0.2399 | valid acc 0.9615 | 0.155s / epoch | 
epoch  9400 | force_w 0.000 | train loss   0.2026 | valid acc 0.9615 | 0.155s / epoch | 
epoch  9500 | force_w 0.000 | train loss   0.2098 | valid acc 0.8462 | 0.155s / epoch | 
epoch  9600 | force_w 0.000 | train loss   0.2433 | valid acc 0.9615 | 0.155s / epoch | 
epoch  9700 | force_w 0.000 | train loss   0.2011 | valid acc 0.9615 | 0.156s / epoch | 
epoch  9800 | force_w 0.000 | train loss   0.2060 | valid acc 0.8462 | 0.158s / epoch | 
epoch  9900 | force_w 0.000 | train loss   0.2461 | valid acc 0.9615 | 0.155s / epoch | 
epoch 10000 | force_w 0.000 | train loss   0.1993 | valid acc 0.9615 | 0.154s / epoch | 
epoch 10100 | force_w 0.000 | train loss   0.2091 | valid acc 0.8462 | 0.156s / epoch | 
epoch 10200 | force_w 0.000 | train loss   0.2325 | valid acc 0.9615 | 0.155s / epoch | 
epoch 10300 | force_w 0.000 | train loss   0.2024 | valid acc 0.9615 | 0.157s / epoch | 
epoch 10400 | force_w 0.000 | train loss   0.2312 | valid acc 0.8654 | 0.156s / epoch | 
epoch 10500 | force_w 0.000 | train loss   0.2384 | valid acc 0.9615 | 0.157s / epoch | 
epoch 10600 | force_w 0.000 | train loss   0.2214 | valid acc 0.9615 | 0.156s / epoch | 
epoch 10700 | force_w 0.000 | train loss   0.2196 | valid acc 0.8654 | 0.156s / epoch | 
epoch 10800 | force_w 0.000 | train loss   0.2295 | valid acc 0.9615 | 0.156s / epoch | 
epoch 10900 | force_w 0.000 | train loss   0.2095 | valid acc 0.9615 | 0.159s / epoch | 
epoch 11000 | force_w 0.000 | train loss   0.2188 | valid acc 0.8654 | 0.155s / epoch | 
epoch 11100 | force_w 0.000 | train loss   0.2282 | valid acc 0.9615 | 0.154s / epoch | 
epoch 11200 | force_w 0.000 | train loss   0.2084 | valid acc 0.9615 | 0.156s / epoch | 
epoch 11300 | force_w 0.000 | train loss   0.2178 | valid acc 0.8654 | 0.155s / epoch | 
epoch 11400 | force_w 0.000 | train loss   0.2277 | valid acc 0.9615 | 0.157s / epoch | 
epoch 11500 | force_w 0.000 | train loss   0.2070 | valid acc 0.9615 | 0.154s / epoch | 
epoch 11600 | force_w 0.000 | train loss   0.2165 | valid acc 0.8654 | 0.156s / epoch | 
epoch 11700 | force_w 0.000 | train loss   0.2269 | valid acc 0.9615 | 0.156s / epoch | 
epoch 11800 | force_w 0.000 | train loss   0.2058 | valid acc 0.9615 | 0.157s / epoch | 
epoch 11900 | force_w 0.000 | train loss   0.2157 | valid acc 0.8654 | 0.154s / epoch | 
epoch 12000 | force_w 0.000 | train loss   0.2262 | valid acc 0.9615 | 0.155s / epoch | 
epoch 12100 | force_w 0.000 | train loss   0.2044 | valid acc 0.9615 | 0.155s / epoch | 
epoch 12200 | force_w 0.000 | train loss   0.2147 | valid acc 0.8654 | 0.157s / epoch | 
epoch 12300 | force_w 0.000 | train loss   0.2253 | valid acc 0.9615 | 0.157s / epoch | 
epoch 12400 | force_w 0.000 | train loss   0.2032 | valid acc 0.9615 | 0.157s / epoch | 
epoch 12500 | force_w 0.000 | train loss   0.2139 | valid acc 0.8462 | 0.156s / epoch | 
epoch 12600 | force_w 0.000 | train loss   0.2245 | valid acc 0.9615 | 0.157s / epoch | 
epoch 12700 | force_w 0.000 | train loss   0.2021 | valid acc 0.9615 | 0.157s / epoch | 
epoch 12800 | force_w 0.000 | train loss   0.2129 | valid acc 0.8462 | 0.156s / epoch | 
epoch 12900 | force_w 0.000 | train loss   0.2239 | valid acc 0.9615 | 0.155s / epoch | 
