attn_scale: 0.1, hopf_scale: 0.06
0.1, 0.06
epoch  6300 | force_w 0.000 | train loss   0.2332 | valid acc 0.9615 | 0.067s / epoch | 
epoch  6400 | force_w 0.000 | train loss   0.2374 | valid acc 0.8654 | 0.064s / epoch | 
epoch  6500 | force_w 0.000 | train loss   0.2355 | valid acc 0.9615 | 0.067s / epoch | 
epoch  6600 | force_w 0.000 | train loss   0.2287 | valid acc 0.9615 | 0.068s / epoch | 
epoch  6700 | force_w 0.000 | train loss   0.2361 | valid acc 0.8654 | 0.065s / epoch | 
epoch  6800 | force_w 0.000 | train loss   0.2402 | valid acc 0.9615 | 0.067s / epoch | 
epoch  6900 | force_w 0.000 | train loss   0.2264 | valid acc 0.9615 | 0.067s / epoch | 
epoch  7000 | force_w 0.000 | train loss   0.2377 | valid acc 0.8654 | 0.065s / epoch | 
epoch  7100 | force_w 0.000 | train loss   0.2338 | valid acc 0.9615 | 0.067s / epoch | 
epoch  7200 | force_w 0.000 | train loss   0.2246 | valid acc 0.9615 | 0.067s / epoch | 
epoch  7300 | force_w 0.000 | train loss   0.2358 | valid acc 0.8654 | 0.066s / epoch | 
epoch  7400 | force_w 0.000 | train loss   0.2303 | valid acc 0.9615 | 0.067s / epoch | 
epoch  7500 | force_w 0.000 | train loss   0.2217 | valid acc 0.9615 | 0.068s / epoch | 
epoch  7600 | force_w 0.000 | train loss   0.2430 | valid acc 0.8654 | 0.065s / epoch | 
epoch  7700 | force_w 0.000 | train loss   0.2348 | valid acc 0.9615 | 0.066s / epoch | 
epoch  7800 | force_w 0.000 | train loss   0.2239 | valid acc 0.9615 | 0.068s / epoch | 
epoch  7900 | force_w 0.000 | train loss   0.2348 | valid acc 0.8654 | 0.066s / epoch | 
epoch  8000 | force_w 0.000 | train loss   0.2480 | valid acc 0.9615 | 0.067s / epoch | 
epoch  8100 | force_w 0.000 | train loss   0.2188 | valid acc 0.9615 | 0.065s / epoch | 
epoch  8200 | force_w 0.000 | train loss   0.2342 | valid acc 0.8654 | 0.066s / epoch | 
epoch  8300 | force_w 0.000 | train loss   0.2451 | valid acc 0.9615 | 0.066s / epoch | 
epoch  8400 | force_w 0.000 | train loss   0.2163 | valid acc 0.9615 | 0.067s / epoch | 
epoch  8500 | force_w 0.000 | train loss   0.2341 | valid acc 0.8654 | 0.065s / epoch | 
epoch  8600 | force_w 0.000 | train loss   0.2289 | valid acc 0.9615 | 0.066s / epoch | 
epoch  8700 | force_w 0.000 | train loss   0.2168 | valid acc 0.9615 | 0.066s / epoch | 
epoch  8800 | force_w 0.000 | train loss   0.2275 | valid acc 0.8654 | 0.065s / epoch | 
epoch  8900 | force_w 0.000 | train loss   0.2297 | valid acc 0.9615 | 0.066s / epoch | 
epoch  9000 | force_w 0.000 | train loss   0.2166 | valid acc 0.9615 | 0.065s / epoch | 
epoch  9100 | force_w 0.000 | train loss   0.2278 | valid acc 0.8654 | 0.066s / epoch | 
epoch  9200 | force_w 0.000 | train loss   0.2337 | valid acc 0.9615 | 0.066s / epoch | 
epoch  9300 | force_w 0.000 | train loss   0.2129 | valid acc 0.9615 | 0.065s / epoch | 
epoch  9400 | force_w 0.000 | train loss   0.2237 | valid acc 0.8462 | 0.067s / epoch | 
epoch  9500 | force_w 0.000 | train loss   0.2292 | valid acc 0.9615 | 0.066s / epoch | 
epoch  9600 | force_w 0.000 | train loss   0.2126 | valid acc 0.9615 | 0.066s / epoch | 
epoch  9700 | force_w 0.000 | train loss   0.2209 | valid acc 0.8462 | 0.066s / epoch | 
epoch  9800 | force_w 0.000 | train loss   0.2319 | valid acc 0.9615 | 0.066s / epoch | 
epoch  9900 | force_w 0.000 | train loss   0.2143 | valid acc 0.9615 | 0.064s / epoch | 
epoch 10000 | force_w 0.000 | train loss   0.2233 | valid acc 0.8462 | 0.067s / epoch | 
epoch 10100 | force_w 0.000 | train loss   0.2296 | valid acc 0.9615 | 0.064s / epoch | 
epoch 10200 | force_w 0.000 | train loss   0.2097 | valid acc 0.9615 | 0.064s / epoch | 
epoch 10300 | force_w 0.000 | train loss   0.2296 | valid acc 0.8654 | 0.065s / epoch | 
epoch 10400 | force_w 0.000 | train loss   0.2287 | valid acc 0.9615 | 0.066s / epoch | 
epoch 10500 | force_w 0.000 | train loss   0.2141 | valid acc 0.9615 | 0.066s / epoch | 
epoch 10600 | force_w 0.000 | train loss   0.2222 | valid acc 0.8462 | 0.066s / epoch | 
epoch 10700 | force_w 0.000 | train loss   0.2294 | valid acc 0.9615 | 0.064s / epoch | 
epoch 10800 | force_w 0.000 | train loss   0.2091 | valid acc 0.9615 | 0.065s / epoch | 
epoch 10900 | force_w 0.000 | train loss   0.2161 | valid acc 0.8462 | 0.065s / epoch | 
epoch 11000 | force_w 0.000 | train loss   0.2319 | valid acc 0.9615 | 0.064s / epoch | 
epoch 11100 | force_w 0.000 | train loss   0.2090 | valid acc 0.9615 | 0.064s / epoch | 
epoch 11200 | force_w 0.000 | train loss   0.2199 | valid acc 0.8462 | 0.066s / epoch | 
