attn_scale: 1, hopf_scale: 1
1, 1
Training complete. Model parameters saved to 'data/model.npz'.
attn_scale: 1, hopf_scale: 0.1
1, 0.1
epoch  6200 | force_w 0.000 | train loss   0.3589 | valid acc 0.7115 | 0.067s / epoch | 
epoch  6300 | force_w 0.000 | train loss   0.3687 | valid acc 0.8654 | 0.068s / epoch | 
epoch  6400 | force_w 0.000 | train loss   0.5018 | valid acc 0.7115 | 0.068s / epoch | 
epoch  6500 | force_w 0.000 | train loss   0.3582 | valid acc 0.7115 | 0.068s / epoch | 
epoch  6600 | force_w 0.000 | train loss   0.3686 | valid acc 0.8654 | 0.067s / epoch | 
epoch  6700 | force_w 0.000 | train loss   0.4930 | valid acc 0.7115 | 0.066s / epoch | 
epoch  6800 | force_w 0.000 | train loss   0.3574 | valid acc 0.7115 | 0.069s / epoch | 
epoch  6900 | force_w 0.000 | train loss   0.3687 | valid acc 0.8654 | 0.067s / epoch | 
epoch  7000 | force_w 0.000 | train loss   0.4809 | valid acc 0.7115 | 0.067s / epoch | 
epoch  7100 | force_w 0.000 | train loss   0.3567 | valid acc 0.7115 | 0.067s / epoch | 
epoch  7200 | force_w 0.000 | train loss   0.3697 | valid acc 0.8654 | 0.066s / epoch | 
epoch  7300 | force_w 0.000 | train loss   0.4681 | valid acc 0.7115 | 0.066s / epoch | 
epoch  7400 | force_w 0.000 | train loss   0.3569 | valid acc 0.7115 | 0.066s / epoch | 
epoch  7500 | force_w 0.000 | train loss   0.3692 | valid acc 0.8654 | 0.064s / epoch | 
epoch  7600 | force_w 0.000 | train loss   0.4615 | valid acc 0.7115 | 0.066s / epoch | 
epoch  7700 | force_w 0.000 | train loss   0.3562 | valid acc 0.7115 | 0.067s / epoch | 
epoch  7800 | force_w 0.000 | train loss   0.3686 | valid acc 0.8654 | 0.068s / epoch | 
epoch  7900 | force_w 0.000 | train loss   0.4549 | valid acc 0.7308 | 0.066s / epoch | 
epoch  8000 | force_w 0.000 | train loss   0.3557 | valid acc 0.7115 | 0.067s / epoch | 
epoch  8100 | force_w 0.000 | train loss   0.3682 | valid acc 0.8654 | 0.064s / epoch | 
epoch  8200 | force_w 0.000 | train loss   0.4443 | valid acc 0.7308 | 0.066s / epoch | 
epoch  8300 | force_w 0.000 | train loss   0.3552 | valid acc 0.7115 | 0.066s / epoch | 
epoch  8400 | force_w 0.000 | train loss   0.3679 | valid acc 0.8654 | 0.066s / epoch | 
epoch  8500 | force_w 0.000 | train loss   0.4400 | valid acc 0.7308 | 0.067s / epoch | 
epoch  8600 | force_w 0.000 | train loss   0.3546 | valid acc 0.7115 | 0.065s / epoch | 
epoch  8700 | force_w 0.000 | train loss   0.3669 | valid acc 0.8654 | 0.065s / epoch | 
epoch  8800 | force_w 0.000 | train loss   0.4334 | valid acc 0.6154 | 0.067s / epoch | 
epoch  8900 | force_w 0.000 | train loss   0.3536 | valid acc 0.7115 | 0.065s / epoch | 
epoch  9000 | force_w 0.000 | train loss   0.3611 | valid acc 0.8654 | 0.066s / epoch | 
epoch  9100 | force_w 0.000 | train loss   0.4229 | valid acc 0.6154 | 0.066s / epoch | 
epoch  9200 | force_w 0.000 | train loss   0.3561 | valid acc 0.7308 | 0.067s / epoch | 
epoch  9300 | force_w 0.000 | train loss   0.3628 | valid acc 0.8654 | 0.066s / epoch | 
epoch  9400 | force_w 0.000 | train loss   0.4154 | valid acc 0.6154 | 0.066s / epoch | 
epoch  9500 | force_w 0.000 | train loss   0.3531 | valid acc 0.7308 | 0.065s / epoch | 
epoch  9600 | force_w 0.000 | train loss   0.3618 | valid acc 0.8654 | 0.065s / epoch | 
epoch  9700 | force_w 0.000 | train loss   0.4089 | valid acc 0.6154 | 0.066s / epoch | 
epoch  9800 | force_w 0.000 | train loss   0.3539 | valid acc 0.7308 | 0.065s / epoch | 
epoch  9900 | force_w 0.000 | train loss   0.3619 | valid acc 0.8654 | 0.066s / epoch | 
epoch 10000 | force_w 0.000 | train loss   0.4023 | valid acc 0.6154 | 0.065s / epoch | 
epoch 10100 | force_w 0.000 | train loss   0.3520 | valid acc 0.6154 | 0.067s / epoch | 
epoch 10200 | force_w 0.000 | train loss   0.3599 | valid acc 0.8654 | 0.066s / epoch | 
epoch 10300 | force_w 0.000 | train loss   0.4047 | valid acc 0.6154 | 0.064s / epoch | 
epoch 10400 | force_w 0.000 | train loss   0.3495 | valid acc 0.6154 | 0.067s / epoch | 
epoch 10500 | force_w 0.000 | train loss   0.3591 | valid acc 0.8654 | 0.064s / epoch | 
epoch 10600 | force_w 0.000 | train loss   0.3945 | valid acc 0.8654 | 0.065s / epoch | 
epoch 10700 | force_w 0.000 | train loss   0.3502 | valid acc 0.6154 | 0.066s / epoch | 
epoch 10800 | force_w 0.000 | train loss   0.3601 | valid acc 0.8654 | 0.066s / epoch | 
epoch 10900 | force_w 0.000 | train loss   0.3866 | valid acc 0.8654 | 0.066s / epoch | 
epoch 11000 | force_w 0.000 | train loss   0.3509 | valid acc 0.6154 | 0.065s / epoch | 
epoch 11100 | force_w 0.000 | train loss   0.3609 | valid acc 0.8654 | 0.066s / epoch | 
epoch 11200 | force_w 0.000 | train loss   0.3794 | valid acc 0.8654 | 0.066s / epoch | 
epoch 11300 | force_w 0.000 | train loss   0.3503 | valid acc 0.6154 | 0.066s / epoch | 
epoch 11400 | force_w 0.000 | train loss   0.3604 | valid acc 0.8654 | 0.066s / epoch | 
epoch 11500 | force_w 0.000 | train loss   0.3744 | valid acc 0.8654 | 0.066s / epoch | 
epoch 11600 | force_w 0.000 | train loss   0.3508 | valid acc 0.8654 | 0.066s / epoch | 
epoch 11700 | force_w 0.000 | train loss   0.3604 | valid acc 0.8654 | 0.065s / epoch | 
epoch 11800 | force_w 0.000 | train loss   0.3697 | valid acc 0.8654 | 0.066s / epoch | 
epoch 11900 | force_w 0.000 | train loss   0.3476 | valid acc 0.8654 | 0.066s / epoch | 
epoch 12000 | force_w 0.000 | train loss   0.3579 | valid acc 0.8654 | 0.065s / epoch | 
epoch 12100 | force_w 0.000 | train loss   0.3619 | valid acc 0.8654 | 0.066s / epoch | 
epoch 12200 | force_w 0.000 | train loss   0.3476 | valid acc 0.8654 | 0.066s / epoch | 
epoch 12300 | force_w 0.000 | train loss   0.3581 | valid acc 0.8654 | 0.066s / epoch | 
epoch 12400 | force_w 0.000 | train loss   0.3538 | valid acc 0.8654 | 0.066s / epoch | 
epoch 12500 | force_w 0.000 | train loss   0.3463 | valid acc 0.8654 | 0.065s / epoch | 
epoch 12600 | force_w 0.000 | train loss   0.3555 | valid acc 0.8654 | 0.065s / epoch | 
epoch 12700 | force_w 0.000 | train loss   0.3415 | valid acc 0.8654 | 0.065s / epoch | 
epoch 12800 | force_w 0.000 | train loss   0.3388 | valid acc 0.8654 | 0.065s / epoch | 
epoch 12900 | force_w 0.000 | train loss   0.3348 | valid acc 0.8654 | 0.065s / epoch | 
epoch 13000 | force_w 0.000 | train loss   0.3386 | valid acc 0.8654 | 0.065s / epoch | 
epoch 13100 | force_w 0.000 | train loss   0.3075 | valid acc 0.9615 | 0.066s / epoch | 
epoch 13200 | force_w 0.000 | train loss   0.3042 | valid acc 0.8654 | 0.066s / epoch | 
epoch 13300 | force_w 0.000 | train loss   0.3449 | valid acc 0.9615 | 0.066s / epoch | 
epoch 13400 | force_w 0.000 | train loss   0.2194 | valid acc 0.9615 | 0.066s / epoch | 
epoch 13500 | force_w 0.000 | train loss   0.2318 | valid acc 0.8654 | 0.065s / epoch | 
epoch 13600 | force_w 0.000 | train loss   0.2306 | valid acc 0.9615 | 0.066s / epoch | 
epoch 13700 | force_w 0.000 | train loss   0.2085 | valid acc 0.9615 | 0.065s / epoch | 
epoch 13800 | force_w 0.000 | train loss   0.2068 | valid acc 0.8462 | 0.066s / epoch | 
epoch 13900 | force_w 0.000 | train loss   0.2251 | valid acc 0.9615 | 0.065s / epoch | 
epoch 14000 | force_w 0.000 | train loss   0.2013 | valid acc 0.9615 | 0.065s / epoch | 
epoch 14100 | force_w 0.000 | train loss   0.2071 | valid acc 0.8462 | 0.066s / epoch | 
epoch 14200 | force_w 0.000 | train loss   0.2247 | valid acc 0.9615 | 0.066s / epoch | 
epoch 14300 | force_w 0.000 | train loss   0.1964 | valid acc 0.9615 | 0.066s / epoch | 
epoch 14400 | force_w 0.000 | train loss   0.2077 | valid acc 0.8462 | 0.067s / epoch | 
epoch 14500 | force_w 0.000 | train loss   0.2206 | valid acc 0.9615 | 0.066s / epoch | 
epoch 14600 | force_w 0.000 | train loss   0.1958 | valid acc 0.9615 | 0.065s / epoch | 
epoch 14700 | force_w 0.000 | train loss   0.2011 | valid acc 0.8462 | 0.066s / epoch | 
epoch 14800 | force_w 0.000 | train loss   0.2163 | valid acc 0.9615 | 0.065s / epoch | 
epoch 14900 | force_w 0.000 | train loss   0.2024 | valid acc 0.9615 | 0.066s / epoch | 
epoch 15000 | force_w 0.000 | train loss   0.2001 | valid acc 0.8462 | 0.066s / epoch | 
epoch 15100 | force_w 0.000 | train loss   0.2177 | valid acc 0.9615 | 0.065s / epoch | 
epoch 15200 | force_w 0.000 | train loss   0.1982 | valid acc 0.9615 | 0.066s / epoch | 
epoch 15300 | force_w 0.000 | train loss   0.2090 | valid acc 0.8462 | 0.066s / epoch | 
epoch 15400 | force_w 0.000 | train loss   0.2118 | valid acc 0.9615 | 0.066s / epoch | 
epoch 15500 | force_w 0.000 | train loss   0.1975 | valid acc 0.9615 | 0.065s / epoch | 
epoch 15600 | force_w 0.000 | train loss   0.1992 | valid acc 0.8462 | 0.065s / epoch | 
